MIDA;BUSQUEDES DLL;BUSQUEDES TH;
1000;411.183;21.294;
2000;833.0365;20.824;
3000;1217.8083;35.782333;
4000;1652.996;58.65225;
5000;2058.6167;80.7824;
6000;2448.1873;104.648834;
7000;2867.1445;134.42415;
8000;3252.5984;154.04988;
9000;3685.068;179.23856;
10000;4101.5483;202.9991;
11000;4493.8125;204.04155;
12000;4903.5635;209.99574;
13000;5310.591;210.91284;
14000;5717.0977;208.48308;
15000;6128.037;209.5912;
16000;6495.0073;207.74675;
17000;6913.4126;204.66093;
18000;7344.219;202.46822;
19000;7736.8716;198.23332;
20000;8168.762;197.30745;
21000;8556.686;208.33847;
22000;8963.558;221.21632;
23000;9364.785;234.93079;
24000;9801.84;247.87662;
25000;10197.471;261.71317;
26000;10594.774;279.8783;
27000;11022.723;293.94507;
28000;11462.268;316.76328;
29000;11825.319;328.7373;
30000;12272.678;348.64044;
31000;12674.361;367.89346;
32000;13071.977;386.58435;
33000;13506.327;406.7488;
34000;13827.313;426.05435;
35000;14246.585;448.2246;
36000;14618.466;468.67056;
37000;15098.062;490.1291;
38000;15475.682;507.85583;
39000;15931.999;531.0425;
40000;16333.068;549.5142;
41000;16749.586;573.4785;
42000;17178.398;598.4271;
43000;17486.746;612.72235;
44000;17916.076;640.454;
45000;18424.312;664.4537;
46000;18769.38;682.5309;
47000;19271.617;711.7802;
48000;19605.627;734.79736;
49000;19982.172;757.9918;
50000;20367.49;780.33374;
