MIDA;BUSQUEDES DLL;BUSQUEDES TH;
1000;321.719;16.009;
2000;618.7295;34.3435;
3000;975.521;34.507;
4000;1283.8475;42.80125;
5000;1589.474;56.9582;
6000;1914.2155;72.51117;
7000;2220.7432;90.184;
8000;2501.8784;107.1295;
9000;2845.3154;127.884445;
10000;3145.6223;145.3928;
11000;3496.6946;166.48146;
12000;3799.719;184.04926;
13000;4124.7705;206.85977;
14000;4401.2705;223.44829;
15000;4710.366;243.978;
16000;5063.152;263.72858;
17000;5385.3726;281.116;
18000;5686.7534;299.58533;
19000;5960.5137;314.7871;
20000;6343.637;334.8507;
21000;6640.314;323.94928;
22000;6967.069;314.75494;
23000;7246.0195;308.72644;
24000;7604.264;304.70367;
25000;7902.01;302.64172;
26000;8222.481;303.0226;
27000;8512.731;305.10593;
28000;8855.533;308.6213;
29000;9163.5625;313.18237;
30000;9447.834;316.1128;
31000;9728.272;321.57977;
32000;10156.012;332.56668;
33000;10442.376;339.75668;
34000;10740.001;347.6473;
35000;11070.552;357.40118;
36000;11411.154;368.0614;
37000;11728.411;376.86517;
38000;11991.813;384.17764;
39000;12327.579;394.5105;
40000;12677.878;407.58682;
41000;12959.451;417.77298;
42000;13230.062;430.12286;
43000;13489.437;440.64624;
44000;13887.361;456.04736;
45000;14184.318;469.20978;
46000;14555.018;484.61487;
47000;14774.061;498.11383;
48000;15093.316;510.8257;
49000;15415.446;525.9689;
50000;15804.157;541.0256;
